3752_4943_000000_000000	"Silence there!" cries the overseer.	"Silence there!" cries the overseer.	false	0	3.72	23.164742
3752_4943_000000_000001	"Do you want me to report yer?"	"Do you want me to report yer?"	false	3.72	5.28	23.269575
3752_4943_000001_000000	Amid such diversions the days rolled on, and Rufus Dawes almost longed for the Coal Mines.	Amid such diversions the days rolled on, and Rufus Dawes almost longed for the Coal Mines.	false	5.28	8.76	21.904821
3752_4943_000001_000001	To be sent from the settlement to the Coal Mines, and from the Coal Mines to the settlement, was to these unhappy men a "trip".	To be sent from the settlement to the Coal Mines, and from the Coal Mines to the settlement, was to these unhappy men a "trip".	false	8.76	16.02	23.475517
3752_4943_000001_000002	At Port Arthur one went to an out-station, as more fortunate people go to Queenscliff or the Ocean Beach now-a-days for "change of air".	At Port Arthur one went to an out station, as more fortunate people go to Queenscliff or the Ocean Beach now a days for "change of air".	false	16.02	27.33	24.339706
3752_4943_000002_000000	CHAPTER XIII.	CHAPTER thirteen.	true	27.33	28.81	25.359861
3752_4943_000002_000001	THE COMMANDANT'S BUTLER.	THE COMMANDANT'S BUTLER.	false	28.82	30.61	28.67404
3752_4943_000003_000000	Rufus Dawes had been a fortnight at the settlement when a new-comer appeared on the chain-gang.	Rufus Dawes had been a fortnight at the settlement when a new comer appeared on the chain gang.	false	30.89	36.27	24.00486
3752_4943_000003_000001	This was a young man of about twenty years of age, thin, fair, and delicate.	This was a young man of about twenty years of age, thin, fair, and delicate.	true	36.27	41.32	18.868557
3752_4943_000003_000002	His name was Kirkland, and he belonged to what were known as the "educated" prisoners.	His name was Kirkland, and he belonged to what were known as the "educated" prisoners.	true	41.6	46.48	23
3752_4943_000003_000003	He had been a clerk in a banking house, and was transported for embezzlement, though, by some, grave doubts as to his guilt were entertained.	He had been a clerk in a banking house, and was transported for embezzlement, though, by some, grave doubts as to his guilt were entertained.	true	47.12	55.39	23
3752_4943_000003_000004	The Commandant, Captain Burgess, had employed him as butler in his own house, and his fate was considered a "lucky" one.	The Commandant, Captain Burgess, had employed him as butler in his own house, and his fate was considered a "lucky" one.	false	55.97	63.94	22.547173
