6313_66125_000001_000000	A DARING RESCUE	A DARING RESCUE
6313_66125_000002_000001	Running to the edge of the cliff, he leaned over and listened intently.	Running to the edge of the cliff, he leaned over and listened intently.
6313_66125_000003_000000	A moment more and he too caught the plaintive cry for help from below.	A moment more and he too caught the plaintive cry for help from below.
6313_66125_000005_000000	"Keep back!	"Keep back!
6313_66125_000005_000001	Keep back!" he shouted, as the boys and Professor Zepplin began crowding near the masked edge of the cliff.	Keep back!" he shouted, as the boys and Professor Zepplin began crowding near the masked edge of the cliff.
6313_66125_000005_000002	"You'll all be over if you don't have a care.	"You'll all be over if you don't have a care.
6313_66125_000006_000000	"What is it?" demanded the Professor breathlessly.	"What is it?" demanded the Professor breathlessly.
6313_66125_000007_000000	"It's Master Walt," snapped the guide.	"It's Master Walt," snapped the guide.
6313_66125_000007_000001	"Stand still.	"Stand still.
6313_66125_000007_000002	Don't move an inch.	Don't move an inch.
6313_66125_000007_000003	I'm going back for a torch," he commanded, leaping by them on his way to the camp fire.	I'm going back for a torch," he commanded, leaping by them on his way to the camp fire.
6313_66125_000008_000000	"Where--is--he?" stammered the Professor, not observing that the guide had left them.	"Where-is-he?" stammered the Professor, not observing that the guide had left them.
6313_66125_000009_000000	"Down there, sir," explained Tad, pointing to the ledge of rock over which Walter had fallen.	"Down there, sir," explained Tad, pointing to the ledge of rock over which Walter had fallen.
6313_66125_000010_000000	"I know--I know--but----"	"I know-I know-but----"
6313_66125_000011_000000	"I heard him call.	"I heard him call.
6313_66125_000011_000002	Walt's alive!	Walt's alive!
6313_66125_000011_000003	But I don't know how we are going to get him."	But I don't know how we are going to get him."
6313_66125_000012_000000	The shout of joy that had framed itself on the lips of Ned Rector and Stacy Brown died out in an indistinct murmur.	The shout of joy that had framed itself on the lips of Ned Rector and Stacy Brown died out in an indistinct murmur.
6313_66125_000013_000000	"Is it possible!	"Is it possible!
6313_66125_000013_000001	What are we going to do, Thomas--how are we to rescue the boy?"	What are we going to do, Thomas-how are we to rescue the boy?"
6313_66125_000015_000000	"See anything?" asked Tad tremulously, creeping to his side.	"See anything?" asked Tad tremulously, creeping to his side.
6313_66125_000016_000000	"Looks like a clump of bushes down there.	"Looks like a clump of bushes down there.
6313_66125_000016_000001	But I ain't sure.	But I ain't sure.
6313_66125_000016_000002	Can you make it out?"	Can you make it out?"
6313_66125_000017_000000	"No.	"no
6313_66125_000017_000001	All I can see is rocks and shadows.	All I can see is rocks and shadows.
6313_66125_000017_000002	Where is it that you think you see bushes?"	Where is it that you think you see bushes?"
6313_66125_000018_000000	"Over there to the right, just near the edge of the light space made by the torch light," answered the guide.	"Over there to the right, just near the edge of the light space made by the torch light," answered the guide.
6313_66125_000019_000000	"Yes," agreed Tad, "that does look like bushes.	"Yes," agreed Tad, "that does look like bushes.
6313_66125_000019_000002	Hey, Walter!	Hey, Walter!
6313_66125_000019_000004	"All right, old man.	"All right, old man.
6313_66125_000019_000005	Stick tight and don't get scared.	Stick tight and don't get scared.
6313_66125_000019_000006	We'll have you out of that in no time."	We'll have you out of that in no time."
6313_66125_000020_000000	"Don't move around.	"Don't move around.
6313_66125_000020_000001	Lie perfectly still," warned the guide.	Lie perfectly still," warned the guide.
6313_66125_000020_000002	"Are you hurt?"	"Are you hurt?"
6313_66125_000021_000000	To this question Walter made some reply that was unintelligible to them.	To this question Walter made some reply that was unintelligible to them.
6313_66125_000022_000000	"Now, what are we going to do, I'd like to know?" asked Ned.	"Now, what are we going to do, I'd like to know?" asked Ned.
6313_66125_000023_000001	"It's a tough job.	"It's a tough job.
6313_66125_000024_000000	"Why not get a rope and let it down to him," suggested Tad.	"Why not get a rope and let it down to him," suggested Tad.
6313_66125_000025_000000	"Yes, that's the only way we can do it.	"Yes, that's the only way we can do it.
6313_66125_000025_000001	Run over to the cook tent and tell Jose to give you those rawhide lariats that he will find behind his bunk.	Run over to the cook tent and tell Jose to give you those rawhide lariats that he will find behind his bunk.
6313_66125_000025_000002	Hurry!"	Hurry!"
6313_66125_000027_000000	The mountaineer quickly formed a loop in one end of the rope, making it large enough to permit of its slipping over the shoulders of a man.	The mountaineer quickly formed a loop in one end of the rope, making it large enough to permit of its slipping over the shoulders of a man.
6313_66125_000028_000000	"Hello, down there!	"Hello, down there!
6313_66125_000028_000001	Let me know when the rope reaches you.	Let me know when the rope reaches you.
6313_66125_000028_000002	Can you slip it over your shoulders and under your arms?" called the guide.	Can you slip it over your shoulders and under your arms?" called the guide.
6313_66125_000029_000000	There was no response.	There was no response.
6313_66125_000032_000001	They gazed at each other in perplexity.	They gazed at each other in perplexity.
