2902_9006_000000_000000	This is a LibriVox recording.	This is a LibriVox recording.	true	2.82	4.78	22.82075
2902_9006_000000_000001	All LibriVox recordings are in the public domain.	All LibriVox recordings are in the public domain.	true	4.88	7.93	20.006582
2902_9006_000000_000002	For more information, or to volunteer, please visit librivox.org.	For more information, or to volunteer, please visit librivox dot org.	true	8.18	13.32	19.788155
2902_9006_000001_000000	HYPATIA ***	HYPATIA asterisk asterisk asterisk	false	13.32	14.19	100
2902_9006_000002_000000	Produced by P. J. Riddick	Produced by p j Riddick	false	14.19	16.5	19.412209
2902_9006_000003_000000	HYPATIA	HYPATIA	true	16.5	17.37	25.037521
2902_9006_000004_000000	or	or	false	17.37	17.37	
2902_9006_000005_000000	NEW FOES WITH AN OLD FACE	NEW FOES WITH AN OLD FACE	false	17.37	17.535	-20
2902_9006_000006_000000	By Charles Kingsley	By Charles Kingsley	true	17.535	18.91	21.180574
2902_9006_000007_000000	PREFACE	PREFACE	true	19.22	20.02	21.187496
2902_9006_000008_000000	A picture of life in the fifth century must needs contain much which will be painful to any reader, and which the young and innocent will do well to leave altogether unread.	A picture of life in the fifth century must needs contain much which will be painful to any reader, and which the young and innocent will do well to leave altogether unread.	true	21.65	32.05	20.524721
2902_9006_000008_000001	It has to represent a very hideous, though a very great, age; one of those critical and cardinal eras in the history of the human race, in which virtues and vices manifest themselves side by side--even, at times, in the same person--with the most startling openness and power.	It has to represent a very hideous, though a very great, age; one of those critical and cardinal eras in the history of the human race, in which virtues and vices manifest themselves side by side-even, at times, in the same person-with the most startling openness and power.	true	32.45	50.08	20.128834
2902_9006_000008_000002	One who writes of such an era labours under a troublesome disadvantage.	One who writes of such an era labours under a troublesome disadvantage.	false	50.78	55.24	20.070679
2902_9006_000008_000003	He dare not tell how evil people were; he will not be believed if he tells how good they were.	He dare not tell how evil people were; he will not be believed if he tells how good they were.	true	55.64	61.27	20.89163
2902_9006_000008_000004	In the present case that disadvantage is doubled; for while the sins of the Church, however heinous, were still such as admit of being expressed in words, the sins of the heathen world, against which she fought, were utterly indescribable; and the Christian apologist is thus compelled, for the sake of decency, to state the Church's case far more weakly than the facts deserve.	In the present case that disadvantage is doubled; for while the sins of the Church, however heinous, were still such as admit of being expressed in words, the sins of the heathen world, against which she fought, were utterly indescribable; and the Christian apologist is thus compelled, for the sake of decency, to state the Church's case far more weakly than the facts deserve.	true	61.7	84.31	20.144005
2902_9006_000009_000000	Not, be it ever remembered, that the slightest suspicion of immorality attaches either to the heroine of this book, or to the leading philosophers of her school, for several centuries.	Not, be it ever remembered, that the slightest suspicion of immorality attaches either to the heroine of this book, or to the leading philosophers of her school, for several centuries.	true	85.43	96.64	19.264002
2902_9006_000009_000001	Howsoever base and profligate their disciples, or the Manichees, may have been, the great Neo-Platonists were, as Manes himself was, persons of the most rigid and ascetic virtue.	Howsoever base and profligate their disciples, or the Manichees, may have been, the great Neo Platonists were, as Manes himself was, persons of the most rigid and ascetic virtue.	false	97.19	109.48	20.107353
2902_9006_000010_000000	For a time had arrived, in which no teacher who did not put forth the most lofty pretensions to righteousness could expect a hearing.	For a time had arrived, in which no teacher who did not put forth the most lofty pretensions to righteousness could expect a hearing.	true	110.45	117.97	20.345732
