2803_154328_000000_000000	The "oudoupa" had been fenced round, and posts, surmounted with faces painted in red ochre, stood near the grave where the bodies were to lie. The relatives had not forgotten that the "Waidoua," the spirit of the dead, lives on mortal food, as the body did in this life.	The "oudoupa" had been fenced round, and posts, surmounted with faces painted in red ochre, stood near the grave where the bodies were to lie. The relatives had not forgotten that the "Waidoua," the spirit of the dead, lives on mortal food, as the body did in this life.	false	0	9.72	25.353666
2803_154328_000000_000001	Therefore, food was deposited in the inclosure as well as the arms and clothing of the deceased.	Therefore, food was deposited in the inclosure as well as the arms and clothing of the deceased.	false	9.72	12.69	23.390491
2803_154328_000000_000002	Nothing was omitted for comfort.	Nothing was omitted for comfort.	false	12.69	13.56	21.372553
2803_154328_000000_000003	The husband and wife were laid side by side, then covered with earth and grass, after another series of laments.	The husband and wife were laid side by side, then covered with earth and grass, after another series of laments.	false	13.56	20.82	23.339401
2803_154328_000001_000000	Then the procession wound slowly down the mountain, and henceforth none dare ascend the slope of Maunganamu on pain of death, for it was "tabooed," like Tongariro, where lie the ashes of a chief killed by an earthquake in 1846.	Then the procession wound slowly down the mountain, and henceforth none dare ascend the slope of Maunganamu on pain of death, for it was "tabooed," like Tongariro, where lie the ashes of a chief killed by an earthquake in eighteen forty six.	false	20.82	29.94	20.776623
2803_154328_000002_000000	CHAPTER XII STRANGELY LIBERATED	CHAPTER twelve STRANGELY LIBERATED	true	29.94	33.25	22.787418
2803_154328_000003_000000	JUST as the sun was sinking beyond Lake Taupo, behind the peaks of Tuhahua and Pukepapu, the captives were conducted back to their prison. They were not to leave it again till the tops of the Wahiti Ranges were lit with the first fires of day.	JUST as the sun was sinking beyond Lake Taupo, behind the peaks of Tuhahua and Pukepapu, the captives were conducted back to their prison. They were not to leave it again till the tops of the Wahiti Ranges were lit with the first fires of day.	false	34.34	54.19	23.017727
2803_154328_000004_000000	They had one night in which to prepare for death.	They had one night in which to prepare for death.	true	55.37	58.965	24.606943
2803_154328_000004_000001	Overcome as they were with horror and fatigue, they took their last meal together.	Overcome as they were with horror and fatigue, they took their last meal together.	true	58.965	64.875	23.516314
2803_154328_000005_000000	"We shall need all our strength," Glenarvan had said, "to look death in the face.	"We shall need all our strength," Glenarvan had said, "to look death in the face.	false	64.875	70.63	23.210205
