1462_170145_000000_000000	B.A.	b a	false	9.75	10.53	25.064697
1462_170145_000001_000000	CHAPTER IX	CHAPTER nine	true	10.53	11.59	28.822226
1462_170145_000002_000000	On the last Saturday in April, the New York "Times" published an account of the strike complications which were delaying Alexander's New Jersey bridge, and stated that the engineer himself was in town and at his office on West Tenth Street.	On the last Saturday in April, the New York "Times" published an account of the strike complications which were delaying Alexander's New Jersey bridge, and stated that the engineer himself was in town and at his office on West Tenth Street.	true	12.98	27.88	21.856686
1462_170145_000003_000000	On Sunday, the day after this notice appeared, Alexander worked all day at his Tenth Street rooms.	On Sunday, the day after this notice appeared, Alexander worked all day at his Tenth Street rooms.	true	28.58	35.08	19.18303
1462_170145_000003_000001	His business often called him to New York, and he had kept an apartment there for years, subletting it when he went abroad for any length of time.	His business often called him to New York, and he had kept an apartment there for years, subletting it when he went abroad for any length of time.	true	35.72	44.2	22.921957
1462_170145_000003_000002	Besides his sleeping-room and bath, there was a large room, formerly a painter's studio, which he used as a study and office.	Besides his sleeping room and bath, there was a large room, formerly a painter's studio, which he used as a study and office.	true	45.41	53.62	22.033571
1462_170145_000003_000003	It was furnished with the cast-off possessions of his bachelor days and with odd things which he sheltered for friends of his who followed itinerant and more or less artistic callings.	It was furnished with the cast off possessions of his bachelor days and with odd things which he sheltered for friends of his who followed itinerant and more or less artistic callings.	true	54.17	65.14	22.972445
1462_170145_000003_000004	Over the fireplace there was a large old-fashioned gilt mirror.	Over the fireplace there was a large old-fashioned gilt mirror.	true	65.69	70.12	23.57144
1462_170145_000003_000005	Alexander's big work-table stood in front of one of the three windows, and above the couch hung the one picture in the room, a big canvas of charming color and spirit, a study of the Luxembourg Gardens in early spring, painted in his youth by a man who had since become a portrait-painter of international renown.	Alexander's big work table stood in front of one of the three windows, and above the couch hung the one picture in the room, a big canvas of charming color and spirit, a study of the Luxembourg Gardens in early spring, painted in his youth by a man who had since become a portrait painter of international renown.	true	70.4	89.86	21.959608
1462_170145_000003_000006	He had done it for Alexander when they were students together in Paris.	He had done it for Alexander when they were students together in Paris.	true	90.02	93.79	19.708176
1462_170145_000004_000000	Sunday was a cold, raw day and a fine rain fell continuously.	Sunday was a cold, raw day and a fine rain fell continuously.	true	95.12	99.85	19
1462_170145_000004_000001	When Alexander came back from dinner he put more wood on his fire, made himself comfortable, and settled down at his desk, where he began checking over estimate sheets.	When Alexander came back from dinner he put more wood on his fire, made himself comfortable, and settled down at his desk, where he began checking over estimate sheets.	true	100.31	110.44	25.009413
1462_170145_000004_000002	It was after nine o'clock and he was lighting a second pipe, when he thought he heard a sound at his door. He started and listened, holding the burning match in his hand; again he heard the same sound, like a firm, light tap.	It was after nine o'clock and he was lighting a second pipe, when he thought he heard a sound at his door. He started and listened, holding the burning match in his hand; again he heard the same sound, like a firm, light tap.	true	111.08	125.83	23.499846
1462_170145_000004_000003	He rose and crossed the room quickly.	He rose and crossed the room quickly.	true	126.23	128.41	23.878798
1462_170145_000004_000004	When he threw open the door he recognized the figure that shrank back into the bare, dimly lit hallway.	When he threw open the door he recognized the figure that shrank back into the bare, dimly lit hallway.	false	128.99	134.56	19
1462_170145_000004_000005	He stood for a moment in awkward constraint, his pipe in his hand.	He stood for a moment in awkward constraint, his pipe in his hand.	true	135.08	138.94	26.438456
1462_170145_000005_000000	"Come in," he said to Hilda at last, and closed the door behind her.	"Come in," he said to Hilda at last, and closed the door behind her.	true	139.61	144.22	21.203367
1462_170145_000005_000001	He pointed to a chair by the fire and went back to his worktable.	He pointed to a chair by the fire and went back to his worktable.	true	144.83	148.66	25
1462_170145_000005_000002	"Won't you sit down?"	"Won't you sit down?"	true	148.94	150.13	23.206806
