3000_15664_000002_000000	Arctic beauty and desolation, with their blessings and dangers, all may be found here, to test the endurance and skill of adventurous climbers; but far better than climbing the mountain is going around its warm, fertile base, enjoying its bounties like a bee circling around a bank of flowers.	Arctic beauty and desolation, with their blessings and dangers, all may be found here, to test the endurance and skill of adventurous climbers; but far better than climbing the mountain is going around its warm, fertile base, enjoying its bounties like a bee circling around a bank of flowers.
3000_15664_000002_000001	The distance is about a hundred miles, and will take some of the time we hear so much about--a week or two--but the benefits will compensate for any number of weeks.	The distance is about a hundred miles, and will take some of the time we hear so much about-a week or two-but the benefits will compensate for any number of weeks.
3000_15664_000002_000002	Perhaps the profession of doing good may be full, but every body should be kind at least to himself.	Perhaps the profession of doing good may be full, but every body should be kind at least to himself.
3000_15664_000002_000003	Take a course of good water and air, and in the eternal youth of Nature you may renew your own.	Take a course of good water and air, and in the eternal youth of Nature you may renew your own.
3000_15664_000002_000005	Some have strange, morbid fears as soon as they find themselves with Nature, even in the kindest and wildest of her solitudes, like very sick children afraid of their mother--as if God were dead and the devil were king.	Some have strange, morbid fears as soon as they find themselves with Nature, even in the kindest and wildest of her solitudes, like very sick children afraid of their mother-as if God were dead and the devil were king.
3000_15664_000003_000001	But it is far better to go afoot.	But it is far better to go afoot.
3000_15664_000003_000002	Then you are free to make wide waverings and zigzags away from the roads to visit the great fountain streams of the rivers, the glaciers also, and the wildest retreats in the primeval forests, where the best plants and animals dwell, and where many a flower-bell will ring against your knees, and friendly trees will reach out their fronded branches and touch you as you pass.	Then you are free to make wide waverings and zigzags away from the roads to visit the great fountain streams of the rivers, the glaciers also, and the wildest retreats in the primeval forests, where the best plants and animals dwell, and where many a flower bell will ring against your knees, and friendly trees will reach out their fronded branches and touch you as you pass.
3000_15664_000003_000003	One blanket will be enough to carry, or you may forego the pleasure and burden altogether, as wood for fires is everywhere abundant.	One blanket will be enough to carry, or you may forego the pleasure and burden altogether, as wood for fires is everywhere abundant.
3000_15664_000003_000004	Only a little food will be required.	Only a little food will be required.
3000_15664_000003_000005	Berries and plums abound in season, and quail and grouse and deer--the magnificent shaggy mule deer as well as the common species.	Berries and plums abound in season, and quail and grouse and deer-the magnificent shaggy mule deer as well as the common species.
3000_15664_000004_000000	As you sweep around so grand a center, the mountain itself seems to turn, displaying its riches like the revolving pyramids in jewelers' windows.	As you sweep around so grand a center, the mountain itself seems to turn, displaying its riches like the revolving pyramids in jewelers' windows.
