2412_153947_000000_000000	This is a LibriVox recording.	This is a LibriVox recording.	true	2.85	4.74	17.039705
2412_153947_000000_000001	All LibriVox recordings are in the public domain.	All LibriVox recordings are in the public domain.	true	4.74	7.39	16
2412_153947_000000_000002	For more information, or to volunteer, please visit librivox.org.	For more information, or to volunteer, please visit librivox dot org.	true	7.67	11.94	17
2412_153947_000001_000000	The Project Gutenberg eBook, Erewhon, by Samuel Butler	The Project Gutenberg eBook, Erewhon, by Samuel Butler	false	11.94	13.59	14.796208
2412_153947_000002_000000	This eBook is for the use of anyone anywhere at no cost and with almost no restrictions whatsoever.	This eBook is for the use of anyone anywhere at no cost and with almost no restrictions whatsoever.	false	13.59	14.43	10
2412_153947_000002_000001	You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.net	You may copy it, give it away or re use it under the terms of the Project Gutenberg License included with this eBook or online at w w w dot gutenberg dot net	false	14.43	16.05	6
2412_153947_000003_000000	Title: Erewhon	Title: Erewhon	false	16.05	16.89	19.018925
2412_153947_000004_000000	Author: Samuel Butler	Author: Samuel Butler	false	16.89	16.89	
2412_153947_000005_000000	Release Date: March 20, 2005 [eBook #1906]	Release Date: march twentieth two thousand five [eBook # nineteen o six]	false	16.89	16.95	-20
2412_153947_000006_000000	Language: English	Language: English	false	16.95	16.95	
2412_153947_000007_000000	Character set encoding: ISO-646-US (US-ASCII)	Character set encoding: i s o six four six u s (u s ASCII)	false	16.95	17.01	-20
2412_153947_000008_000000	***START OF THE PROJECT GUTENBERG EBOOK EREWHON***	asterisk asterisk START OF THE PROJECT GUTENBERG EBOOK EREWHON asterisk asterisk	false	17.01	17.07	32
2412_153947_000009_000000	Transcribed from the 1910 A. C. Fifield (revised) edition by David Price, email ccx074@coventry.ac.uk	Transcribed from the nineteen ten a c Fifield (revised) edition by David Price, email c c x o seven four at coventry dot ac dot u k	false	17.07	17.19	17
2412_153947_000010_000000	EREWHON, OR OVER THE RANGE	e r e w h o n, o r OVER THE RANGE	false	17.19	18.18	16
2412_153947_000011_000000	"[Greek text]"--ARIST.	"[Greek text]"--ARIST.	false	18.18	19.8	16.522293
2412_153947_000011_000001	_Pol_.	underscore Pol underscore.	false	19.8	21.465	-20
2412_153947_000012_000000	"There is no action save upon a balance of considerations."--_Paraphrase_.	"There is no action save upon a balance of considerations."--underscore Paraphrase underscore.	false	21.465	30.45	16.095692
2412_153947_000013_000000	PREFACE TO THE FIRST EDITION	PREFACE TO THE FIRST EDITION	true	30.45	32.2	18.256975
2412_153947_000014_000000	The Author wishes it to be understood that Erewhon is pronounced as a word of three syllables, all short--thus, E-re-whon.	The Author wishes it to be understood that Erewhon is pronounced as a word of three syllables, all short-thus, E re whon.	true	33.11	41.2	20.010809
2412_153947_000015_000000	PREFACE TO SECOND EDITION	PREFACE TO SECOND EDITION	false	43.19	45.07	17.05188
2412_153947_000016_000000	Having been enabled by the kindness of the public to get through an unusually large edition of "Erewhon" in a very short time, I have taken the opportunity of a second edition to make some necessary corrections, and to add a few passages where it struck me that they would be appropriately introduced; the passages are few, and it is my fixed intention never to touch the work again.	Having been enabled by the kindness of the public to get through an unusually large edition of "Erewhon" in a very short time, I have taken the opportunity of a second edition to make some necessary corrections, and to add a few passages where it struck me that they would be appropriately introduced; the passages are few, and it is my fixed intention never to touch the work again.	true	47.09	67.96	18.781431
2412_153947_000017_000000	I may perhaps be allowed to say a word or two here in reference to "The Coming Race," to the success of which book "Erewhon" has been very generally set down as due.	I may perhaps be allowed to say a word or two here in reference to "The Coming Race," to the success of which book "Erewhon" has been very generally set down as due.	true	69.29	78.58	18
2412_153947_000017_000001	This is a mistake, though a perfectly natural one.	This is a mistake, though a perfectly natural one.	true	79.67	82.36	20.189865
