8297_275154_000000_000001	Listen to Reason.	Listen to Reason.
8297_275154_000001_000000	Not having heard from Captain Bennydeck for some little time, Randal thought it desirable in Sydney's interests to make inquiries at his club.	Not having heard from Captain Bennydeck for some little time, Randal thought it desirable in Sydney's interests to make inquiries at his club.
8297_275154_000001_000001	Nothing was known of the Captain's movements there.	Nothing was known of the Captain's movements there.
8297_275154_000001_000002	On the chance of getting the information that he wanted, Randal wrote to the hotel at Sandyseal.	On the chance of getting the information that he wanted, Randal wrote to the hotel at Sandyseal.
8297_275154_000002_000000	The landlord's reply a little surprised him.	The landlord's reply a little surprised him.
8297_275154_000003_000000	Some days since, the yacht had again appeared in the bay.	Some days since, the yacht had again appeared in the bay.
8297_275154_000003_000001	Captain Bennydeck had landed, to all appearance in fairly good health; and had left by an early train for London.	Captain Bennydeck had landed, to all appearance in fairly good health; and had left by an early train for London.
8297_275154_000003_000002	The sailing-master announced that he had orders to take the vessel back to her port--with no other explanation than that the cruise was over.	The sailing master announced that he had orders to take the vessel back to her port-with no other explanation than that the cruise was over.
8297_275154_000003_000003	This alternative in the Captain's plans (terminating the voyage a month earlier than his arrangements had contemplated) puzzled Randal.	This alternative in the Captain's plans (terminating the voyage a month earlier than his arrangements had contemplated) puzzled Randal.
8297_275154_000003_000004	He called at his friend's private residence, only to hear from the servants that they had seen nothing of their master.	He called at his friend's private residence, only to hear from the servants that they had seen nothing of their master.
8297_275154_000004_000001	Her letter concluded in these words: "You will only meet one person besides ourselves--your friend, and (since we last met) our friend too.	Her letter concluded in these words: "You will only meet one person besides ourselves-your friend, and (since we last met) our friend too.
8297_275154_000004_000002	Captain Bennydeck has got tired of the sea.	Captain Bennydeck has got tired of the sea.
8297_275154_000005_000000	These lines set Randal thinking seriously.	These lines set Randal thinking seriously.
8297_275154_000006_000000	To represent Bennydeck as being "tired of the sea," and as being willing to try, in place of the breezy Channel, the air of a suburb of London, was to make excuses too perfectly futile and absurd to deceive any one who knew the Captain.	To represent Bennydeck as being "tired of the sea," and as being willing to try, in place of the breezy Channel, the air of a suburb of London, was to make excuses too perfectly futile and absurd to deceive any one who knew the Captain.
8297_275154_000006_000001	In spite of the appearance of innocence which pervaded Catherine's letter, the true motive for breaking off his cruise might be found, as Randal concluded, in Catherine herself.	In spite of the appearance of innocence which pervaded Catherine's letter, the true motive for breaking off his cruise might be found, as Randal concluded, in Catherine herself.
8297_275154_000006_000002	Her residence at the sea-side, helped by the lapse of time, had restored to her personal attractions almost all they had lost under the deteriorating influences of care and grief; and her change of name must have protected her from a discovery of the Divorce which would have shocked a man so sincerely religious as Bennydeck.	Her residence at the sea side, helped by the lapse of time, had restored to her personal attractions almost all they had lost under the deteriorating influences of care and grief; and her change of name must have protected her from a discovery of the Divorce which would have shocked a man so sincerely religious as Bennydeck.
8297_275154_000006_000003	Had her beauty fascinated him?	Had her beauty fascinated him?
8297_275154_000006_000004	Was she aware of the interest that he felt in her? and was it secretly understood and returned?	Was she aware of the interest that he felt in her? and was it secretly understood and returned?
8297_275154_000006_000005	Randal wrote to accept the invitation; determining to present himself before the appointed hour, and to question Catherine privately, without giving her the advantage over him of preparing herself for the interview.	Randal wrote to accept the invitation; determining to present himself before the appointed hour, and to question Catherine privately, without giving her the advantage over him of preparing herself for the interview.
8297_275154_000007_000000	In the short time that passed before the day of the dinner, distressing circumstances strengthened his resolution.	In the short time that passed before the day of the dinner, distressing circumstances strengthened his resolution.
8297_275154_000007_000001	After months of separation, he received a visit from Herbert.	After months of separation, he received a visit from Herbert.
8297_275154_000008_000000	Was this man--haggard, pallid, shabby, looking at him piteously with bloodshot eyes--the handsome, pleasant, prosperous brother whom he remembered?	Was this man-haggard, pallid, shabby, looking at him piteously with bloodshot eyes-the handsome, pleasant, prosperous brother whom he remembered?
8297_275154_000008_000002	He could only point to a seat.	He could only point to a seat.
8297_275154_000008_000004	And yet he spoke roughly; he looked like an angry man brought to bay.	And yet he spoke roughly; he looked like an angry man brought to bay.
8297_275154_000009_000000	"I seem to frighten you," he said.	"I seem to frighten you," he said.
8297_275154_000010_000000	"You distress me, Herbert, more than words can say."	"You distress me, Herbert, more than words can say."
8297_275154_000011_000000	"Give me a glass of wine.	"Give me a glass of wine.
8297_275154_000011_000001	I've been walking--I don't know where.	I've been walking-I don't know where.
8297_275154_000011_000002	A long distance; I'm dead beat."	A long distance; I'm dead beat."
8297_275154_000012_000000	He drank the wine greedily.	He drank the wine greedily.
8297_275154_000012_000001	Whatever reviving effect it might otherwise have produced on him, it made no change in the threatening gloom of his manner.	Whatever reviving effect it might otherwise have produced on him, it made no change in the threatening gloom of his manner.
8297_275154_000012_000002	In a man morally weak, calamity (suffered without resisting power) breaks its way through the surface which exhibits a gentleman, and shows the naked nature which claims kindred with our ancestor the savage.	In a man morally weak, calamity (suffered without resisting power) breaks its way through the surface which exhibits a gentleman, and shows the naked nature which claims kindred with our ancestor the savage.
8297_275154_000013_000000	"Do you feel better, Herbert?"	"Do you feel better, Herbert?"
8297_275154_000014_000000	He put down the empty glass, taking no notice of his brother's question. "Randal," he said, "you know where Sydney is."	He put down the empty glass, taking no notice of his brother's question. "Randal," he said, "you know where Sydney is."
8297_275154_000015_000000	Randal admitted it.	Randal admitted it.
8297_275154_000016_000000	"Give me her address.	"Give me her address.
