6345_93302_000000_000000	This is a LibriVox recording.	This is a LibriVox recording.	true	3.99	6.04	24.169682
6345_93302_000000_000001	All LibriVox recordings are in the public domain.	All LibriVox recordings are in the public domain.	true	6.11	9.25	22.539295
6345_93302_000000_000002	For more information, or to volunteer, please visit librivox.org.	For more information, or to volunteer, please visit librivox dot org.	true	9.5	14.61	23.305866
6345_93302_000001_000000	THE LITERARY SENSE ***	THE LITERARY SENSE asterisk asterisk asterisk	false	14.61	15.54	26.614882
6345_93302_000002_000000	Produced by Suzanne Shell, Emmy and the Online Distributed Proofreading Team at http://www.pgdp.net (This file was produced from images generously made available by The Internet Archive/American Libraries.)	Produced by Suzanne Shell, Emmy and the Online Distributed Proofreading Team at h t t p colon slash slash w w w dot p g d p dot net (This file was produced from images generously made available by The Internet Archive/American Libraries.)	false	15.54	17.91	21.861074
6345_93302_000003_000000	THE LITERARY SENSE	THE LITERARY SENSE	false	17.91	19.08	22.185116
6345_93302_000004_000000	[Illustration]	[Illustration]	false	19.08	19.08	
6345_93302_000005_000000	THE LITERARY SENSE	THE LITERARY SENSE	false	19.08	19.11	-20
6345_93302_000006_000000	BY E. NESBIT	BY e NESBIT	true	19.11	20.49	22.816063
6345_93302_000007_000000	AUTHOR OF "THE RED HOUSE" AND "THE WOULD-BE-GOODS"	AUTHOR OF "THE RED HOUSE" AND "THE WOULD BE GOODS"	false	20.49	20.55	-20
6345_93302_000008_000000	New York THE MACMILLAN COMPANY LONDON: MACMILLAN & CO., LTD. 1903	New York THE MACMILLAN COMPANY LONDON: MACMILLAN and c o., ltd nineteen o three	false	20.55	20.67	-20
6345_93302_000009_000000	_All rights reserved_	underscore All rights reserved underscore	false	20.67	20.73	100
6345_93302_000010_000000	COPYRIGHT, 1903, BY THE MACMILLAN COMPANY.	COPYRIGHT, nineteen o three, BY THE MACMILLAN COMPANY.	false	20.73	20.79	9
6345_93302_000011_000000	Set up, electrotyped, and published September, 1903.	Set up, electrotyped, and published September, nineteen o three.	false	20.79	20.88	2
6345_93302_000012_000000	Norwood Press J. S. Cushing & Co.--Berwick & Smith Co. Norwood, Mass., U.S.A.	Norwood Press j s Cushing and Co.--Berwick and Smith Co. Norwood, Mass., u s a	false	20.88	21	22.9036
6345_93302_000013_000000	TO DOROTHEA DEAKIN WITH THE AUTHOR'S LOVE	TO DOROTHEA DEAKIN WITH THE AUTHOR'S LOVE	false	21	21.06	21
6345_93302_000014_000000	CONTENTS	CONTENTS	false	21.06	21.06	
6345_93302_000015_000000	PAGE	PAGE	false	21.06	21.09	-20
6345_93302_000016_000000	THE UNFAITHFUL LOVER 1	THE UNFAITHFUL LOVER one	false	21.09	21.69	24.091488
6345_93302_000017_000000	ROUNDING OFF A SCENE 13	ROUNDING OFF A SCENE thirteen	false	21.69	22.05	-20
6345_93302_000018_000000	THE OBVIOUS 29	THE OBVIOUS twenty nine	false	22.05	22.26	54
6345_93302_000019_000000	THE LIE ABSOLUTE 49	THE LIE ABSOLUTE forty nine	false	22.26	22.26	
6345_93302_000020_000000	THE GIRL WITH THE GUITAR 65	THE GIRL WITH THE GUITAR sixty five	false	22.26	22.26	
6345_93302_000021_000000	THE MAN WITH THE BOOTS 79	THE MAN WITH THE BOOTS seventy nine	false	22.26	22.26	
6345_93302_000022_000000	THE SECOND BEST 91	THE SECOND BEST ninety one	false	22.26	22.26	
6345_93302_000023_000000	THE HOLIDAY 105	THE HOLIDAY one hundred five	false	22.26	22.26	
6345_93302_000024_000000	THE FORCE OF HABIT 123	THE FORCE OF HABIT one hundred twenty three	false	22.26	22.26	
6345_93302_000025_000000	THE BRUTE 147	THE BRUTE one hundred forty seven	false	22.26	22.26	
6345_93302_000026_000000	DICK, TOM, AND HARRY 165	DICK, TOM, AND HARRY one hundred sixty five	false	22.26	22.26	
6345_93302_000027_000000	MISS EDEN'S BABY 187	MISS EDEN'S BABY one hundred eighty seven	false	22.26	22.26	
6345_93302_000028_000000	THE LOVER, THE GIRL, AND THE ONLOOKER 209	THE LOVER, THE GIRL, AND THE ONLOOKER two hundred nine	false	22.26	22.26	
6345_93302_000029_000000	THE DUEL 229	THE DUEL two hundred twenty nine	false	22.26	22.26	
6345_93302_000030_000000	CINDERELLA 253	CINDERELLA two hundred fifty three	false	22.26	22.26	
6345_93302_000031_000000	WITH AN E 275	WITH AN E two hundred seventy five	false	22.26	22.26	
6345_93302_000032_000000	UNDER THE NEW MOON 299	UNDER THE NEW MOON two hundred ninety nine	false	22.26	22.26	
6345_93302_000033_000000	THE LOVE OF ROMANCE 309	THE LOVE OF ROMANCE three hundred nine	false	22.26	22.26	
6345_93302_000034_000000	THE LITERARY SENSE	THE LITERARY SENSE	false	22.26	22.26	
6345_93302_000035_000000	THE UNFAITHFUL LOVER	THE UNFAITHFUL LOVER	false	22.26	23.71	24.738052
6345_93302_000036_000000	SHE was going to meet her lover.	SHE was going to meet her lover.	true	25.28	27.25	22.411743
