6345_93302_000000_000000	This is a LibriVox recording.	This is a LibriVox recording.
6345_93302_000000_000001	All LibriVox recordings are in the public domain.	All LibriVox recordings are in the public domain.
6345_93302_000000_000002	For more information, or to volunteer, please visit librivox.org.	For more information, or to volunteer, please visit librivox dot org.
6345_93302_000006_000000	BY E. NESBIT	BY e NESBIT
6345_93302_000036_000000	SHE was going to meet her lover.	SHE was going to meet her lover.
6345_93302_000036_000001	And the fact that she was to meet him at Cannon Street Station would almost, she feared, make the meeting itself banal, sordid.	And the fact that she was to meet him at Cannon Street Station would almost, she feared, make the meeting itself banal, sordid.
6345_93302_000036_000002	She would have liked to meet him in some green, cool orchard, where daffodils swung in the long grass, and primroses stood on frail stiff little pink stalks in the wet, scented moss of the hedgerow.	She would have liked to meet him in some green, cool orchard, where daffodils swung in the long grass, and primroses stood on frail stiff little pink stalks in the wet, scented moss of the hedgerow.
6345_93302_000036_000003	The time should have been May.	The time should have been May.
6345_93302_000036_000004	She herself should have been a poem--a lyric in a white gown and green scarf, coming to him through the long grass under the blossomed boughs.	She herself should have been a poem-a lyric in a white gown and green scarf, coming to him through the long grass under the blossomed boughs.
6345_93302_000036_000005	Her hands should have been full of bluebells, and she should have held them up to his face in maidenly defence as he sprang forward to take her in his arms.	Her hands should have been full of bluebells, and she should have held them up to his face in maidenly defence as he sprang forward to take her in his arms.
6345_93302_000036_000006	You see that she knew exactly how a tryst is conducted in the pages of the standard poets and of the cheaper weekly journals.	You see that she knew exactly how a tryst is conducted in the pages of the standard poets and of the cheaper weekly journals.
6345_93302_000036_000007	She had, to the full limit allowed of her reading and her environment, the literary sense.	She had, to the full limit allowed of her reading and her environment, the literary sense.
6345_93302_000037_000000	He had asked her to meet him at Cannon Street; he had something to say to her, and at home it was difficult to get a quiet half-hour because of her little sisters.	He had asked her to meet him at Cannon Street; he had something to say to her, and at home it was difficult to get a quiet half hour because of her little sisters.
6345_93302_000037_000001	And, curiously enough, she was hardly curious at all about what he might have to say.	And, curiously enough, she was hardly curious at all about what he might have to say.
6345_93302_000037_000002	She only wished for May and the orchard, instead of January and the dingy, dusty waiting-room, the plain-faced, preoccupied travellers, the dim, desolate weather.	She only wished for May and the orchard, instead of January and the dingy, dusty waiting room, the plain faced, preoccupied travellers, the dim, desolate weather.
6345_93302_000037_000003	The setting of the scene seemed to her all-important.	The setting of the scene seemed to her all important.
