6295_244435_000000_000000	"And the music goes merrily on," said St. Clair.	"And the music goes merrily on," said st Clair.	false	0	1.47	20.628572
6295_244435_000000_000001	"I went to sleep with the cannon firing, and I wake up with them still at it.	"I went to sleep with the cannon firing, and I wake up with them still at it.	false	1.47	4.83	21.386858
6295_244435_000000_000002	I suppose a fellow will get used to it after a while."	I suppose a fellow will get used to it after a while."	false	4.83	8.1	19.840948
6295_244435_000001_000000	"You can get used to anything," said an officer who heard them.	"You can get used to anything," said an officer who heard them.	false	8.1	9.78	22.841352
6295_244435_000001_000001	"Now, you boys eat your breakfasts.	"Now, you boys eat your breakfasts.	false	9.78	10.62	13
6295_244435_000001_000002	Your turn at the guns will come again soon."	Your turn at the guns will come again soon."	false	10.62	11.61	10
6295_244435_000002_000000	They took breakfast willingly, although they found a strong flavor of smoke, sand, and burned gunpowder in everything they ate and drank. Then they went to their guns, but, when a few more shots were fired, a trumpet blew a signal, and it was echoed from battery to battery. Every cannon ceased, and, in the silence and under the lifting smoke, Harry saw a white flag going up on the fort.	They took breakfast willingly, although they found a strong flavor of smoke, sand, and burned gunpowder in everything they ate and drank. Then they went to their guns, but, when a few more shots were fired, a trumpet blew a signal, and it was echoed from battery to battery. Every cannon ceased, and, in the silence and under the lifting smoke, Harry saw a white flag going up on the fort.	false	11.61	26.61	19.748386
6295_244435_000003_000000	Sumter was about to yield.	Sumter was about to yield.	false	26.61	28.185	23.3527
6295_244435_000004_000000	CHAPTER VII	CHAPTER seven	true	28.185	29.2	23.413433
6295_244435_000005_000000	THE HOMECOMING	THE HOMECOMING	true	29.6	30.85	19.996532
6295_244435_000006_000000	A great and exultant cheer went up from the massed thousands in Charleston.	A great and exultant cheer went up from the massed thousands in Charleston.	true	31.85	36.88	14
6295_244435_000006_000001	A smile passed over Beauregard's swarthy face and he showed his white teeth.	A smile passed over Beauregard's swarthy face and he showed his white teeth.	false	37.31	42.4	18
6295_244435_000006_000002	Colonel Leonidas Talbot regarded the white flag with feelings in which triumph and sadness were mingled strangely.	Colonel Leonidas Talbot regarded the white flag with feelings in which triumph and sadness were mingled strangely.	true	42.74	50.32	15
6295_244435_000006_000003	But the emotions of Harry and his comrades were, for the moment, those of victory only.	But the emotions of Harry and his comrades were, for the moment, those of victory only.	true	50.63	56.32	18.501602
6295_244435_000007_000000	Boats put out both from the fort and the shore.	Boats put out both from the fort and the shore.	true	56.78	59.65	20
6295_244435_000007_000001	Discipline was relaxed now, and Harry, St. Clair and Langdon went outside the battery.	Discipline was relaxed now, and Harry, st Clair and Langdon went outside the battery.	false	59.96	65.92	20.708773
6295_244435_000007_000002	A light breeze had sprung up, and it was very grateful to Harry, who for hours had breathed the heavy odors of smoke and burned gunpowder.	A light breeze had sprung up, and it was very grateful to Harry, who for hours had breathed the heavy odors of smoke and burned gunpowder.	true	66.14	74.86	17
6295_244435_000007_000003	The smoke itself, which had formed a vast cloud over harbor, forts and city, was now drifting out to sea, leaving all things etched sharply in the dazzling sunlight of a Southern spring day.	The smoke itself, which had formed a vast cloud over harbor, forts and city, was now drifting out to sea, leaving all things etched sharply in the dazzling sunlight of a Southern spring day.	false	75.29	87.4	12
6295_244435_000008_000000	"Well, old Wait-and-See, you have waited, and you have seen," said Langdon to Harry.	"Well, old Wait and See, you have waited, and you have seen," said Langdon to Harry.	false	87.41	92.98	18.751358
6295_244435_000008_000001	"That white flag and those boats going out mean that Sumter is ours.	"That white flag and those boats going out mean that Sumter is ours.	true	93.32	97.36	16
6295_244435_000008_000002	Everything is for the best and we win everywhere and all the time."	Everything is for the best and we win everywhere and all the time."	true	97.67	101.92	15
6295_244435_000009_000000	Harry was silent.	Harry was silent.	true	101.93	103.24	18.287256
