2035_147960_000001_000001	She was four years older than I, to be sure, and had seen more of the world; but I was a boy and she was a girl, and I resented her protecting manner.	She was four years older than I, to be sure, and had seen more of the world; but I was a boy and she was a girl, and I resented her protecting manner.
2035_147960_000002_000001	I offered to take her on the pony, and she got up behind me.	I offered to take her on the pony, and she got up behind me.
2035_147960_000002_000002	There had been another black frost the night before, and the air was clear and heady as wine.	There had been another black frost the night before, and the air was clear and heady as wine.
2035_147960_000002_000003	Within a week all the blooming roads had been despoiled--hundreds of miles of yellow sunflowers had been transformed into brown, rattling, burry stalks.	Within a week all the blooming roads had been despoiled-hundreds of miles of yellow sunflowers had been transformed into brown, rattling, burry stalks.
2035_147960_000003_000002	As we rode away with the spade, Antonia suggested that we stop at the prairie-dog town and dig into one of the holes.	As we rode away with the spade, Antonia suggested that we stop at the prairie dog town and dig into one of the holes.
2035_147960_000003_000004	We might get some puppies, or owl eggs, or snake-skins.	We might get some puppies, or owl eggs, or snake skins.
2035_147960_000004_000000	The dog-town was spread out over perhaps ten acres.	The dog town was spread out over perhaps ten acres.
2035_147960_000004_000002	The holes were several yards apart, and were disposed with a good deal of regularity, almost as if the town had been laid out in streets and avenues.	The holes were several yards apart, and were disposed with a good deal of regularity, almost as if the town had been laid out in streets and avenues.
2035_147960_000004_000005	The dogs were out, as usual, dozens of them, sitting up on their hind legs over the doors of their houses.	The dogs were out, as usual, dozens of them, sitting up on their hind legs over the doors of their houses.
2035_147960_000004_000006	As we approached, they barked, shook their tails at us, and scurried underground.	As we approached, they barked, shook their tails at us, and scurried underground.
2035_147960_000004_000007	Before the mouths of the holes were little patches of sand and gravel, scratched up, we supposed, from a long way below the surface.	Before the mouths of the holes were little patches of sand and gravel, scratched up, we supposed, from a long way below the surface.
2035_147960_000004_000009	It was on one of these gravel beds that I met my adventure.	It was on one of these gravel beds that I met my adventure.
2035_147960_000005_000002	I was walking backward, in a crouching position, when I heard Antonia scream.	I was walking backward, in a crouching position, when I heard Antonia scream.
2035_147960_000005_000006	When I turned he was lying in long loose waves, like a letter "W." He twitched and began to coil slowly.	When I turned he was lying in long loose waves, like a letter "W." He twitched and began to coil slowly.
2035_147960_000005_000009	He was as thick as my leg, and looked as if millstones could n't crush the disgusting vitality out of him.	He was as thick as my leg, and looked as if millstones could n't crush the disgusting vitality out of him.
2035_147960_000005_000011	I did n't run because I did n't think of it--if my back had been against a stone wall I could n't have felt more cornered.	I did n't run because I did n't think of it-if my back had been against a stone wall I could n't have felt more cornered.
2035_147960_000005_000012	I saw his coils tighten--now he would spring, spring his length, I remembered.	I saw his coils tighten-now he would spring, spring his length, I remembered.
2035_147960_000005_000013	I ran up and drove at his head with my spade, struck him fairly across the neck, and in a minute he was all about my feet in wavy loops.	I ran up and drove at his head with my spade, struck him fairly across the neck, and in a minute he was all about my feet in wavy loops.
2035_147960_000005_000014	I struck now from hate.	I struck now from hate.
2035_147960_000005_000015	Antonia, barefooted as she was, ran up behind me.	Antonia, barefooted as she was, ran up behind me.
2035_147960_000005_000016	Even after I had pounded his ugly head flat, his body kept on coiling and winding, doubling and falling back on itself.	Even after I had pounded his ugly head flat, his body kept on coiling and winding, doubling and falling back on itself.
2035_147960_000005_000017	I walked away and turned my back.	I walked away and turned my back.
2035_147960_000005_000018	I felt seasick.	I felt seasick.
2035_147960_000005_000019	Antonia came after me, crying, "O Jimmy, he not bite you?	Antonia came after me, crying, "O Jimmy, he not bite you?
2035_147960_000006_000001	You might have told me there was a snake behind me!" I said petulantly.	You might have told me there was a snake behind me!" I said petulantly.
2035_147960_000007_000001	I suppose I looked as sick as I felt.	I suppose I looked as sick as I felt.
2035_147960_000008_000003	Now we take that snake home and show everybody.	Now we take that snake home and show everybody.
2035_147960_000009_000000	She went on in this strain until I began to think that I had longed for this opportunity, and had hailed it with joy.	She went on in this strain until I began to think that I had longed for this opportunity, and had hailed it with joy.
2035_147960_000009_000001	Cautiously we went back to the snake; he was still groping with his tail, turning up his ugly belly in the light.	Cautiously we went back to the snake; he was still groping with his tail, turning up his ugly belly in the light.
2035_147960_000009_000002	A faint, fetid smell came from him, and a thread of green liquid oozed from his crushed head.	A faint, fetid smell came from him, and a thread of green liquid oozed from his crushed head.
2035_147960_000010_000000	"Look, Tony, that's his poison," I said.	"Look, Tony, that's his poison," I said.
2035_147960_000011_000002	I explained to Antonia how this meant that he was twenty-four years old, that he must have been there when white men first came, left on from buffalo and Indian times.	I explained to Antonia how this meant that he was twenty four years old, that he must have been there when white men first came, left on from buffalo and Indian times.
2035_147960_000011_000003	As I turned him over I began to feel proud of him, to have a kind of respect for his age and size.	As I turned him over I began to feel proud of him, to have a kind of respect for his age and size.
2035_147960_000011_000004	He seemed like the ancient, eldest Evil. Certainly his kind have left horrible unconscious memories in all warm-blooded life.	He seemed like the ancient, eldest Evil. Certainly his kind have left horrible unconscious memories in all warm blooded life.
2035_147960_000011_000005	When we dragged him down into the draw, Dude sprang off to the end of his tether and shivered all over--would n't let us come near him.	When we dragged him down into the draw, Dude sprang off to the end of his tether and shivered all over-would n't let us come near him.
2035_147960_000012_000000	We decided that Antonia should ride Dude home, and I would walk.	We decided that Antonia should ride Dude home, and I would walk.
2035_147960_000012_000002	I followed with the spade over my shoulder, dragging my snake.	I followed with the spade over my shoulder, dragging my snake.
2035_147960_000012_000003	Her exultation was contagious.	Her exultation was contagious.
2035_147960_000012_000005	If the red grass were full of rattlers, I was equal to them all. Nevertheless, I stole furtive glances behind me now and then to see that no avenging mate, older and bigger than my quarry, was racing up from the rear.	If the red grass were full of rattlers, I was equal to them all. Nevertheless, I stole furtive glances behind me now and then to see that no avenging mate, older and bigger than my quarry, was racing up from the rear.
2035_147960_000013_000001	Otto Fuchs was the first one we met.	Otto Fuchs was the first one we met.
2035_147960_000013_000003	Antonia called him to come quick and look.	Antonia called him to come quick and look.
2035_147960_000013_000004	He did not say anything for a minute, but scratched his head and turned the snake over with his boot.	He did not say anything for a minute, but scratched his head and turned the snake over with his boot.
2035_147960_000015_000000	"Up at the dog-town," I answered laconically.	"Up at the dog town," I answered laconically.
2035_147960_000017_000000	"We'd been up to Russian Peter's, to borrow a spade for Ambrosch."	"We'd been up to Russian Peter's, to borrow a spade for Ambrosch."
2035_147960_000018_000001	"It was just luck you had a tool," he said cautiously.	"It was just luck you had a tool," he said cautiously.
2035_147960_000018_000002	"Gosh!	"Gosh!
2035_147960_000018_000006	Did he fight hard?"	Did he fight hard?"
2035_147960_000019_000000	Antonia broke in: "He fight something awful!	Antonia broke in: "He fight something awful!
2035_147960_000019_000001	He is all over Jimmy's boots. I scream for him to run, but he just hit and hit that snake like he was crazy."	He is all over Jimmy's boots. I scream for him to run, but he just hit and hit that snake like he was crazy."
2035_147960_000020_000000	Otto winked at me.	Otto winked at me.
2035_147960_000022_000000	Subsequent experiences with rattlesnakes taught me that my first encounter was fortunate in circumstance.	Subsequent experiences with rattlesnakes taught me that my first encounter was fortunate in circumstance.
2035_147960_000022_000005	I had been adequately armed by Russian Peter; the snake was old and lazy; and I had Antonia beside me, to appreciate and admire.	I had been adequately armed by Russian peter; the snake was old and lazy; and I had Antonia beside me, to appreciate and admire.
2035_147960_000023_000000	That snake hung on our corral fence for several days; some of the neighbors came to see it and agreed that it was the biggest rattler ever killed in those parts.	That snake hung on our corral fence for several days; some of the neighbors came to see it and agreed that it was the biggest rattler ever killed in those parts.
2035_147960_000023_000001	This was enough for Antonia.	This was enough for Antonia.
2035_147960_000023_000002	She liked me better from that time on, and she never took a supercilious air with me again.	She liked me better from that time on, and she never took a supercilious air with me again.
2035_147960_000023_000003	I had killed a big snake--I was now a big fellow.	I had killed a big snake-I was now a big fellow.
