5694_64029_000000_000000	CHAPTER VI	CHAPTER six	false	0.45	9.435	24.653494
5694_64029_000001_000000	MURFREESBORO	MURFREESBORO	true	9.435	10.57	26.84453
5694_64029_000002_000000	We came from Knoxville to Chattanooga, and seemed destined to make a permanent stay here.	We came from Knoxville to Chattanooga, and seemed destined to make a permanent stay here.	true	12.02	16.93	24.509825
5694_64029_000002_000001	We remained several months, but soon we were on the tramp again.	We remained several months, but soon we were on the tramp again.	true	17.24	20.8	22.434336
5694_64029_000003_000000	From Chattanooga, Bragg's army went to Murfreesboro.	From Chattanooga, Bragg's army went to Murfreesboro.	true	21.41	24.37	23.957129
5694_64029_000004_000000	The Federal army was concentrating at Nashville.	The Federal army was concentrating at Nashville.	true	25.19	27.76	23.650871
5694_64029_000004_000001	There was no rest for the weary.	There was no rest for the weary.	true	27.95	29.71	24.369658
5694_64029_000004_000002	Marches and battles were the order of the day.	Marches and battles were the order of the day.	true	29.9	32.23	18.648287
5694_64029_000005_000000	Our army stopped at Murfreesboro.	Our army stopped at Murfreesboro.	true	32.93	35.2	26.806046
5694_64029_000005_000001	Our advanced outpost was established at Lavergne.	Our advanced outpost was established at Lavergne.	true	35.33	38.2	25.427935
5694_64029_000005_000002	From time to time different regiments were sent forward to do picket duty.	From time to time different regiments were sent forward to do picket duty.	true	38.66	42.34	25.52357
5694_64029_000005_000003	I was on picket at the time the advance was made by Rosecrans.	I was on picket at the time the advance was made by Rosecrans.	true	42.5	46.27	21.806534
5694_64029_000005_000004	At the time mentioned, I was standing about two hundred yards off the road, the main body of the pickets being on the Nashville and Murfreesboro turnpike, and commanded by Lieutenant Hardy Murfree, of the Rutherford Rifles.	At the time mentioned, I was standing about two hundred yards off the road, the main body of the pickets being on the Nashville and Murfreesboro turnpike, and commanded by Lieutenant Hardy Murfree, of the Rutherford Rifles.	true	46.49	58.57	21.715818
5694_64029_000006_000000	I had orders to allow no one to pass.	I had orders to allow no one to pass.	true	59.39	61.63	26.390778
5694_64029_000006_000001	In fact, no one was expected to pass at this point, but while standing at my post, a horseman rode up behind me.	In fact, no one was expected to pass at this point, but while standing at my post, a horseman rode up behind me.	true	61.88	68.59	26.280966
5694_64029_000006_000002	I halted him, and told him to go down to the main picket on the road and pass, but he seemed so smiling that I thought he knew me, or had a good joke to tell me.	I halted him, and told him to go down to the main picket on the road and pass, but he seemed so smiling that I thought he knew me, or had a good joke to tell me.	true	68.75	77.52	21
5694_64029_000006_000003	He advanced up, and pulling a piece of paper out of his pocket, handed it to me to read.	He advanced up, and pulling a piece of paper out of his pocket, handed it to me to read.	false	77.52	82.75	25.838907
5694_64029_000006_000004	It was an order from General Leonidas Polk to allow the bearer to pass.	It was an order from General Leonidas Polk to allow the bearer to pass.	true	82.85	87.79	24.53809
5694_64029_000006_000005	I read it, and looked up to hand it back to him, when I discovered that he had a pistol cocked and leveled in my face, and says he, "Drop that gun; you are my prisoner." I saw there was no use in fooling about it.	I read it, and looked up to hand it back to him, when I discovered that he had a pistol cocked and leveled in my face, and says he, "Drop that gun; you are my prisoner." I saw there was no use in fooling about it.	true	87.95	99.66	25.60936
5694_64029_000006_000006	I knew if I resisted he would shoot me, and I thought then that he was about to perform that detestable operation.	I knew if I resisted he would shoot me, and I thought then that he was about to perform that detestable operation.	false	99.66	105.61	20
5694_64029_000006_000007	I dropped the gun.	I dropped the gun.	true	105.95	107.23	27.421247
5694_64029_000007_000000	I did not wish to spend my winter in a Northern prison, and what was worse, I would be called a deserter from my post of duty.	I did not wish to spend my winter in a Northern prison, and what was worse, I would be called a deserter from my post of duty.	false	107.87	114.49	17
5694_64029_000008_000000	The Yankee picket lines were not a half mile off.	The Yankee picket lines were not a half mile off.	true	115.22	118.27	23.077065
5694_64029_000008_000001	I was perfectly willing to let the spy go on his way rejoicing--for such he was--but he wanted to capture a Rebel.	I was perfectly willing to let the spy go on his way rejoicing-for such he was-but he wanted to capture a Rebel.	true	118.46	125.5	22.022346
5694_64029_000009_000000	And I had made up my mind to think likewise.	And I had made up my mind to think likewise.	true	125.9	128.38	22
5694_64029_000009_000001	There I was, a prisoner sure, and no mistake about it.	There I was, a prisoner sure, and no mistake about it.	true	128.66	132.82	21.0424
5694_64029_000010_000000	His pistol was leveled, and I was ordered to march.	His pistol was leveled, and I was ordered to march.	true	133.28	136.12	23.709349
5694_64029_000010_000001	I was afraid to halloo to the relief, and you may be sure I was in a bad fix.	I was afraid to halloo to the relief, and you may be sure I was in a bad fix.	true	136.52	141.19	20.84327
5694_64029_000011_000000	Finally says I, "Let's play quits.	Finally says I, "Let's play quits.	true	141.86	144.435	29.138647
