8297_275154_000000_000000	Chapter XXXIX.	Chapter thirty nine.	false	0.66	29.11	24.12411
8297_275154_000000_000001	Listen to Reason.	Listen to Reason.	true	29.69	31.36	27.017889
8297_275154_000001_000000	Not having heard from Captain Bennydeck for some little time, Randal thought it desirable in Sydney's interests to make inquiries at his club.	Not having heard from Captain Bennydeck for some little time, Randal thought it desirable in Sydney's interests to make inquiries at his club.	true	34.52	44.38	24.671305
8297_275154_000001_000001	Nothing was known of the Captain's movements there.	Nothing was known of the Captain's movements there.	true	44.81	47.65	26.27646
8297_275154_000001_000002	On the chance of getting the information that he wanted, Randal wrote to the hotel at Sandyseal.	On the chance of getting the information that he wanted, Randal wrote to the hotel at Sandyseal.	true	48.47	54.34	24.342396
8297_275154_000002_000000	The landlord's reply a little surprised him.	The landlord's reply a little surprised him.	true	55.1	58.45	22.68934
8297_275154_000003_000000	Some days since, the yacht had again appeared in the bay.	Some days since, the yacht had again appeared in the bay.	true	59.45	63.76	22.965769
8297_275154_000003_000001	Captain Bennydeck had landed, to all appearance in fairly good health; and had left by an early train for London.	Captain Bennydeck had landed, to all appearance in fairly good health; and had left by an early train for London.	true	64.07	71.38	24.85472
8297_275154_000003_000002	The sailing-master announced that he had orders to take the vessel back to her port--with no other explanation than that the cruise was over.	The sailing master announced that he had orders to take the vessel back to her port-with no other explanation than that the cruise was over.	true	72.17	81.82	25.301836
8297_275154_000003_000003	This alternative in the Captain's plans (terminating the voyage a month earlier than his arrangements had contemplated) puzzled Randal.	This alternative in the Captain's plans (terminating the voyage a month earlier than his arrangements had contemplated) puzzled Randal.	true	82.7	91.75	24.11903
8297_275154_000003_000004	He called at his friend's private residence, only to hear from the servants that they had seen nothing of their master.	He called at his friend's private residence, only to hear from the servants that they had seen nothing of their master.	true	92.6	99.88	22.476233
8297_275154_000003_000005	Randal waited a while in London, on the chance that Bennydeck might pay him a visit.	Randal waited a while in London, on the chance that Bennydeck might pay him a visit.	false	100.7	105.43	22.275143
8297_275154_000004_000000	During this interval his patience was rewarded in an unexpected manner. He discovered the Captain's address by means of a letter from Catherine, dated "Buck's Hotel, Sydenham." Having gently reproached him for not writing to her or calling on her, she invited him to dinner at the hotel.	During this interval his patience was rewarded in an unexpected manner. He discovered the Captain's address by means of a letter from Catherine, dated "Buck's Hotel, Sydenham." Having gently reproached him for not writing to her or calling on her, she invited him to dinner at the hotel.	false	106.79	129.31	23.97547
8297_275154_000004_000001	Her letter concluded in these words: "You will only meet one person besides ourselves--your friend, and (since we last met) our friend too.	Her letter concluded in these words: "You will only meet one person besides ourselves-your friend, and (since we last met) our friend too.	true	129.92	140.62	22.608454
8297_275154_000004_000002	Captain Bennydeck has got tired of the sea.	Captain Bennydeck has got tired of the sea.	true	140.99	143.89	25.51103
8297_275154_000004_000003	He is staying at this hotel, to try the air of Sydenham, and he finds that it agrees with him."	He is staying at this hotel, to try the air of Sydenham, and he finds that it agrees with him."	false	144.2	150.4	24.489532
8297_275154_000005_000000	These lines set Randal thinking seriously.	These lines set Randal thinking seriously.	true	151.49	154.84	21.57
