84_121123_000000_000000	"You are thoughtful, sir," continued Morrel; "you want something; shall I call one of the servants?"	"You are thoughtful, sir," continued Morrel; "you want something; shall I call one of the servants?"	false	0	1.05	-20
84_121123_000001_000000	"Yes," replied Noirtier.	"Yes," replied Noirtier.	false	1.05	1.26	26
84_121123_000002_000000	Morrel pulled the bell, but though he nearly broke the cord no one answered.	Morrel pulled the bell, but though he nearly broke the cord no one answered.	false	1.26	2.58	11
84_121123_000002_000001	He turned towards Noirtier; the pallor and anguish expressed on his countenance momentarily increased.	He turned towards Noirtier; the pallor and anguish expressed on his countenance momentarily increased.	false	2.58	3.36	23.616438
84_121123_000003_000000	"Oh," exclaimed Morrel, "why do they not come?	"Oh," exclaimed Morrel, "why do they not come?	false	3.36	3.78	17
84_121123_000003_000001	Is any one ill in the house?"	Is any one ill in the house?"	false	3.78	4.17	-20
84_121123_000003_000002	The eyes of Noirtier seemed as though they would start from their sockets.	The eyes of Noirtier seemed as though they would start from their sockets.	false	4.17	4.47	13
84_121123_000003_000003	"What is the matter?	"What is the matter?	false	4.47	4.53	-20
84_121123_000003_000004	You alarm me.	You alarm me.	false	4.53	4.62	12
84_121123_000003_000005	Valentine?	Valentine?	false	4.62	4.62	
84_121123_000003_000006	Valentine?"	Valentine?"	false	4.62	4.65	-20
84_121123_000004_000000	"Yes, yes," signed Noirtier.	"Yes, yes," signed Noirtier.	false	4.65	4.74	-20
84_121123_000004_000001	Maximilian tried to speak, but he could articulate nothing; he staggered, and supported himself against the wainscot.	Maximilian tried to speak, but he could articulate nothing; he staggered, and supported himself against the wainscot.	false	4.74	5.1	12
84_121123_000004_000002	Then he pointed to the door.	Then he pointed to the door.	false	5.1	5.22	-20
84_121123_000005_000000	"Yes, yes, yes!" continued the old man.	"Yes, yes, yes!" continued the old man.	false	5.22	5.37	52
84_121123_000005_000001	Maximilian rushed up the little staircase, while Noirtier's eyes seemed to say,--"Quicker, quicker!"	Maximilian rushed up the little staircase, while Noirtier's eyes seemed to say,--"Quicker, quicker!"	false	5.37	5.685	17
84_121123_000006_000000	In a minute the young man darted through several rooms, till at length he reached Valentine's.	In a minute the young man darted through several rooms, till at length he reached Valentine's.	false	5.685	10.68	23.188478
84_121123_000006_000001	There was no occasion to push the door, it was wide open.	There was no occasion to push the door, it was wide open.	false	10.68	13.11	25.805899
84_121123_000006_000002	A sob was the only sound he heard.	A sob was the only sound he heard.	false	13.11	13.38	18
84_121123_000006_000003	He saw as though in a mist, a black figure kneeling and buried in a confused mass of white drapery.	He saw as though in a mist, a black figure kneeling and buried in a confused mass of white drapery.	false	13.38	15.33	11
84_121123_000006_000004	A terrible fear transfixed him.	A terrible fear transfixed him.	false	15.33	15.33	
84_121123_000006_000005	It was then he heard a voice exclaim "Valentine is dead!" and another voice which, like an echo repeated,--"Dead,--dead!"	It was then he heard a voice exclaim "Valentine is dead!" and another voice which, like an echo repeated,--"Dead,--dead!"	false	15.33	15.36	-20
84_121123_000007_000000	Chapter 103.	Chapter one hundred three.	false	15.36	16.87	24
84_121123_000007_000001	Maximilian.	Maximilian.	true	17.09	18.82	21.025637
84_121123_000008_000000	Villefort rose, half ashamed of being surprised in such a paroxysm of grief.	Villefort rose, half ashamed of being surprised in such a paroxysm of grief.	true	19.55	24.165	23.038734
84_121123_000008_000001	The terrible office he had held for twenty-five years had succeeded in making him more or less than man.	The terrible office he had held for twenty five years had succeeded in making him more or less than man.	true	24.165	30.34	22.046227
84_121123_000008_000002	His glance, at first wandering, fixed itself upon Morrel.	His glance, at first wandering, fixed itself upon Morrel.	true	30.77	34.27	23.58267
84_121123_000008_000003	"Who are you, sir," he asked, "that forget that this is not the manner to enter a house stricken with death? Go, sir, go!" But Morrel remained motionless; he could not detach his eyes from that disordered bed, and the pale corpse of the young girl who was lying on it.	"Who are you, sir," he asked, "that forget that this is not the manner to enter a house stricken with death? Go, sir, go!" But Morrel remained motionless; he could not detach his eyes from that disordered bed, and the pale corpse of the young girl who was lying on it.	true	34.91	52.03	22.071
84_121123_000008_000004	"Go!--do you hear?" said Villefort, while d'Avrigny advanced to lead Morrel out.	"Go!--do you hear?" said Villefort, while d'Avrigny advanced to lead Morrel out.	true	52.19	57.85	22.674063
84_121123_000008_000005	Maximilian stared for a moment at the corpse, gazed all around the room, then upon the two men; he opened his mouth to speak, but finding it impossible to give utterance to the innumerable ideas that occupied his brain, he went out, thrusting his hands through his hair in such a manner that Villefort and d'Avrigny, for a moment diverted from the engrossing topic, exchanged glances, which seemed to say,--"He is mad!"	Maximilian stared for a moment at the corpse, gazed all around the room, then upon the two men; he opened his mouth to speak, but finding it impossible to give utterance to the innumerable ideas that occupied his brain, he went out, thrusting his hands through his hair in such a manner that Villefort and d'Avrigny, for a moment diverted from the engrossing topic, exchanged glances, which seemed to say,--"He is mad!"	true	58.4	80.95	20.754967
84_121123_000009_000000	But in less than five minutes the staircase groaned beneath an extraordinary weight.	But in less than five minutes the staircase groaned beneath an extraordinary weight.	true	81.17	85.05	21.990135
84_121123_000009_000001	Morrel was seen carrying, with superhuman strength, the arm-chair containing Noirtier up-stairs.	Morrel was seen carrying, with superhuman strength, the arm chair containing Noirtier up stairs.	true	85.05	90.76	18
84_121123_000009_000002	When he reached the landing he placed the arm-chair on the floor and rapidly rolled it into Valentine's room.	When he reached the landing he placed the arm chair on the floor and rapidly rolled it into Valentine's room.	true	90.86	95.55	13
84_121123_000009_000003	This could only have been accomplished by means of unnatural strength supplied by powerful excitement.	This could only have been accomplished by means of unnatural strength supplied by powerful excitement.	true	95.55	100.42	17
84_121123_000009_000004	But the most fearful spectacle was Noirtier being pushed towards the bed, his face expressing all his meaning, and his eyes supplying the want of every other faculty.	But the most fearful spectacle was Noirtier being pushed towards the bed, his face expressing all his meaning, and his eyes supplying the want of every other faculty.	true	100.52	110.4	19
84_121123_000009_000005	That pale face and flaming glance appeared to Villefort like a frightful apparition.	That pale face and flaming glance appeared to Villefort like a frightful apparition.	false	110.4	115.17	23.825476
84_121123_000009_000006	Each time he had been brought into contact with his father, something terrible had happened.	Each time he had been brought into contact with his father, something terrible had happened.	true	115.17	119.17	16
84_121123_000009_000007	"See what they have done!" cried Morrel, with one hand leaning on the back of the chair, and the other extended towards Valentine.	"See what they have done!" cried Morrel, with one hand leaning on the back of the chair, and the other extended towards Valentine.	true	119.24	125.68	21
84_121123_000009_000008	"See, my father, see!"	"See, my father, see!"	true	125.9	127.54	25.443863
84_121123_000010_000000	Villefort drew back and looked with astonishment on the young man, who, almost a stranger to him, called Noirtier his father.	Villefort drew back and looked with astonishment on the young man, who, almost a stranger to him, called Noirtier his father.	true	127.88	134.14	20
