2277_149896_000001_000000	ASHES OF TINDER: A FACE AT THE WINDOW	ASHES OF TINDER: A FACE AT THE WINDOW
2277_149896_000002_000000	That night Hurstwood remained down town entirely, going to the Palmer House for a bed after his work was through.	That night Hurstwood remained down town entirely, going to the Palmer House for a bed after his work was through.
2277_149896_000002_000001	He was in a fevered state of mind, owing to the blight his wife's action threatened to cast upon his entire future.	He was in a fevered state of mind, owing to the blight his wife's action threatened to cast upon his entire future.
2277_149896_000002_000002	While he was not sure how much significance might be attached to the threat she had made, he was sure that her attitude, if long continued, would cause him no end of trouble.	While he was not sure how much significance might be attached to the threat she had made, he was sure that her attitude, if long continued, would cause him no end of trouble.
2277_149896_000002_000003	She was determined, and had worsted him in a very important contest.	She was determined, and had worsted him in a very important contest.
2277_149896_000002_000005	He walked the floor of his little office, and later that of his room, putting one thing and another together to no avail.	He walked the floor of his little office, and later that of his room, putting one thing and another together to no avail.
2277_149896_000003_000001	Now that she had practically cowed him, she would follow up her work with demands, the acknowledgment of which would make her word law in the future.	Now that she had practically cowed him, she would follow up her work with demands, the acknowledgment of which would make her word law in the future.
2277_149896_000003_000002	He would have to pay her the money which she would now regularly demand or there would be trouble.	He would have to pay her the money which she would now regularly demand or there would be trouble.
2277_149896_000003_000006	She would find out at once just what advantages she could gain.	She would find out at once just what advantages she could gain.
2277_149896_000004_000000	Hurstwood walked the floor, mentally arranging the chief points of his situation.	Hurstwood walked the floor, mentally arranging the chief points of his situation.
2277_149896_000004_000002	"What a fool trick that was.	"What a fool trick that was.
2277_149896_000004_000003	Curse it!	Curse it!
2277_149896_000004_000004	What a fool move that was."	What a fool move that was."
2277_149896_000005_000000	He also thought of his managerial position.	He also thought of his managerial position.
2277_149896_000005_000003	My friends, too!" He grew more angry as he thought of the talk any action on her part would create.	My friends, too!" He grew more angry as he thought of the talk any action on her part would create.
2277_149896_000005_000005	He would have to explain and deny and make a general mark of himself.	He would have to explain and deny and make a general mark of himself.
2277_149896_000006_000000	Many little wrinkles gathered between his eyes as he contemplated this, and his brow moistened.	Many little wrinkles gathered between his eyes as he contemplated this, and his brow moistened.
2277_149896_000006_000001	He saw no solution of anything--not a loophole left.	He saw no solution of anything-not a loophole left.
2277_149896_000007_000002	It was the one pleasing thing in this whole rout of trouble.	It was the one pleasing thing in this whole rout of trouble.
2277_149896_000007_000003	He could arrange that satisfactorily, for Carrie would be glad to wait, if necessary.	He could arrange that satisfactorily, for Carrie would be glad to wait, if necessary.
2277_149896_000007_000006	He saw only her pretty face and neat figure and wondered why life was not arranged so that such joy as he found with her could be steadily maintained.	He saw only her pretty face and neat figure and wondered why life was not arranged so that such joy as he found with her could be steadily maintained.
2277_149896_000007_000007	How much more pleasant it would be.	How much more pleasant it would be.
2277_149896_000007_000008	Then he would take up his wife's threat again, and the wrinkles and moisture would return.	Then he would take up his wife's threat again, and the wrinkles and moisture would return.
